"Marca temporal",¿Tocas_algun_instrumento/cantas?,"¿Cual?","¿Te gustaria aprende a tocar alguno?"
"2021/07/14 4:11:51 p. m. GMT-3","Sí",-,"Sí"
"2021/07/14 4:12:00 p. m. GMT-3","No",-,"No"
"2021/07/14 4:12:13 p. m. GMT-3","No",-,"Sí"
"2021/07/14 4:12:15 p. m. GMT-3","No",-,"Sí"
"2021/07/14 4:12:23 p. m. GMT-3","No",-,"Sí"
"2021/07/14 4:12:36 p. m. GMT-3","Sí",Triangulo,"No"
"2021/07/14 4:12:43 p. m. GMT-3","No",-,"No"
"2021/07/14 4:12:52 p. m. GMT-3","Sí",Flauta dulce,"Sí"
"2021/07/14 4:13:09 p. m. GMT-3","No",-,"Sí"
"2021/07/14 4:16:01 p. m. GMT-3","Sí",Kena,"Sí"
"2021/07/14 4:16:45 p. m. GMT-3","No",-,"Sí"
"2021/07/14 4:16:54 p. m. GMT-3","No",-,"No"
"2021/07/14 4:17:00 p. m. GMT-3","No",-,"Sí"
"2021/07/14 4:17:03 p. m. GMT-3","No",-,"No"
"2021/07/14 4:17:23 p. m. GMT-3","No",-,"No"
"2021/07/14 4:19:18 p. m. GMT-3","Sí","Guitarra","Sí"
"2021/07/14 4:20:19 p. m. GMT-3","Sí","Trombón ","No"
"2021/07/14 4:20:36 p. m. GMT-3","Sí",-,"No"
"2021/07/14 4:22:03 p. m. GMT-3","No",-,"No"
"2021/07/14 4:30:07 p. m. GMT-3","No",-,"Sí"
"2021/07/14 4:34:08 p. m. GMT-3","No",-,"No"
"2021/07/14 4:45:54 p. m. GMT-3","Sí","Guitarra","Sí"
"2021/07/14 4:47:45 p. m. GMT-3","Sí","Piano","Sí"
"2021/07/14 4:50:38 p. m. GMT-3","Sí","Guitarra","Sí"
"2021/07/14 4:50:43 p. m. GMT-3","Sí",Bateria,"Sí"
